Nome;Email;CNPJ
gabiru;gabiru@gmail.com;78.361.164/0001-31
gabiru;gabiru@gmail.com;78.361.164/0001-31
gabiru;gabiru@gmail.com;78.361.164/0001-31
gabiru;gabiru@gmail.com;78.361.164/0001-31
gabiru@gmail.com;gab@gmail.com;78.361.164/0001-31
toto;toto@gmail.com;78.361.164/0001-31
amo;amo@gmail.com;78.361.164/0001-31
mais um;mais@gmail.com;51.766.331/0001-78
ta;ta@gmail.com;51.766.331/0001-78
Pratos;damasceno.gb@gmail.com;51.799.193/0001-23
rest food;rest.food@gmail.com;11.239.911/0001-92
teste;teste@gmail.com;22.733.824/0001-03
